Category: All categories

Week,venn diagrams: (United States)
2019-07-21,8
2019-07-28,9
2019-08-04,6
2019-08-11,9
2019-08-18,8
2019-08-25,14
2019-09-01,20
2019-09-08,24
2019-09-15,26
2019-09-22,26
2019-09-29,19
2019-10-06,18
2019-10-13,16
2019-10-20,16
2019-10-27,13
2019-11-03,20
2019-11-10,11
2019-11-17,19
2019-11-24,7
2019-12-01,14
2019-12-08,19
2019-12-15,11
2019-12-22,5
2019-12-29,4
2020-01-05,14
2020-01-12,14
2020-01-19,16
2020-01-26,21
2020-02-02,19
2020-02-09,15
2020-02-16,11
2020-02-23,16
2020-03-01,16
2020-03-08,15
2020-03-15,8
2020-03-22,12
2020-03-29,21
2020-04-05,14
2020-04-12,18
2020-04-19,16
2020-04-26,15
2020-05-03,18
2020-05-10,19
2020-05-17,16
2020-05-24,10
2020-05-31,8
2020-06-07,9
2020-06-14,10
2020-06-21,9
2020-06-28,7
2020-07-05,10
2020-07-12,10
2020-07-19,7
2020-07-26,6
2020-08-02,6
2020-08-09,8
2020-08-16,10
2020-08-23,16
2020-08-30,24
2020-09-06,22
2020-09-13,19
2020-09-20,25
2020-09-27,24
2020-10-04,19
2020-10-11,15
2020-10-18,17
2020-10-25,13
2020-11-01,11
2020-11-08,13
2020-11-15,12
2020-11-22,7
2020-11-29,8
2020-12-06,13
2020-12-13,11
2020-12-20,0
2020-12-27,0
2021-01-03,9
2021-01-10,11
2021-01-17,12
2021-01-24,14
2021-01-31,15
2021-02-07,16
2021-02-14,10
2021-02-21,13
2021-02-28,10
2021-03-07,15
2021-03-14,12
2021-03-21,11
2021-03-28,10
2021-04-04,10
2021-04-11,9
2021-04-18,10
2021-04-25,12
2021-05-02,12
2021-05-09,8
2021-05-16,11
2021-05-23,8
2021-05-30,5
2021-06-06,5
2021-06-13,7
2021-06-20,7
2021-06-27,7
2021-07-04,6
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,7
2021-08-15,6
2021-08-22,100
2021-08-29,17
2021-09-05,14
2021-09-12,18
2021-09-19,13
2021-09-26,11
2021-10-03,14
2021-10-10,11
2021-10-17,13
2021-10-24,10
2021-10-31,11
2021-11-07,10
2021-11-14,11
2021-11-21,6
2021-11-28,9
2021-12-05,9
2021-12-12,8
2021-12-19,5
2021-12-26,6
2022-01-02,6
2022-01-09,7
2022-01-16,11
2022-01-23,17
2022-01-30,13
2022-02-06,17
2022-02-13,13
2022-02-20,15
2022-02-27,15
2022-03-06,13
2022-03-13,11
2022-03-20,12
2022-03-27,15
2022-04-03,18
2022-04-10,16
2022-04-17,13
2022-04-24,12
2022-05-01,16
2022-05-08,16
2022-05-15,13
2022-05-22,8
2022-05-29,9
2022-06-05,8
2022-06-12,9
2022-06-19,7
2022-06-26,10
2022-07-03,9
2022-07-10,8
2022-07-17,10
2022-07-24,7
2022-07-31,5
2022-08-07,6
2022-08-14,9
2022-08-21,12
2022-08-28,18
2022-09-04,16
2022-09-11,21
2022-09-18,22
2022-09-25,18
2022-10-02,30
2022-10-09,30
2022-10-16,19
2022-10-23,20
2022-10-30,17
2022-11-06,16
2022-11-13,18
2022-11-20,10
2022-11-27,16
2022-12-04,21
2022-12-11,18
2022-12-18,8
2022-12-25,0
2023-01-01,9
2023-01-08,24
2023-01-15,17
2023-01-22,19
2023-01-29,17
2023-02-05,23
2023-02-12,16
2023-02-19,74
2023-02-26,26
2023-03-05,16
2023-03-12,16
2023-03-19,16
2023-03-26,19
2023-04-02,12
2023-04-09,13
2023-04-16,16
2023-04-23,17
2023-04-30,12
2023-05-07,20
2023-05-14,17
2023-05-21,11
2023-05-28,11
2023-06-04,7
2023-06-11,11
2023-06-18,4
2023-06-25,7
2023-07-02,7
2023-07-09,6
2023-07-16,7
2023-07-23,8
2023-07-30,6
2023-08-06,5
2023-08-13,9
2023-08-20,13
2023-08-27,17
2023-09-03,15
2023-09-10,23
2023-09-17,20
2023-09-24,23
2023-10-01,21
2023-10-08,19
2023-10-15,21
2023-10-22,15
2023-10-29,17
2023-11-05,19
2023-11-12,14
2023-11-19,13
2023-11-26,12
2023-12-03,18
2023-12-10,15
2023-12-17,9
2023-12-24,4
2023-12-31,10
2024-01-07,12
2024-01-14,13
2024-01-21,18
2024-01-28,15
2024-02-04,16
2024-02-11,17
2024-02-18,20
2024-02-25,18
2024-03-03,20
2024-03-10,17
2024-03-17,15
2024-03-24,17
2024-03-31,19
2024-04-07,16
2024-04-14,18
2024-04-21,19
2024-04-28,18
2024-05-05,17
2024-05-12,18
2024-05-19,16
2024-05-26,7
2024-06-02,6
2024-06-09,7
2024-06-16,7
2024-06-23,8
2024-06-30,8
2024-07-07,10
2024-07-14,9
2024-07-21,93
